Ranking position,Country,Category,Items,Original Currency,Original Currency Value,Exchanged Currency,Exchanged Currency Value,PIB anual,SMI (dolares),SMI (euros)
1,BERMUDA,Food,Basic lunchtime menu (including a drink) in the business district,BMD,BD$36,EUR,(€32),,,
1,BERMUDA,Food,Combo meal in fast food restaurant (big mac meal or similar),BMD,BD$21,EUR,(€19),,,
1,BERMUDA,Food,500 gr (1 lb.) of boneless chicken breast,BMD,BD$24,EUR,(€22),,,
1,BERMUDA,Food,1 liter (1 qt.) of whole fat milk,BMD,BD$4.98,EUR,(€4.49),,,
1,BERMUDA,Food,"12 eggs, large",BMD,BD$7,EUR,(€7),,,
1,BERMUDA,Food,1 kg (2 lb.) of tomatoes,BMD,BD$10,EUR,(€9),,,
1,BERMUDA,Food,500 gr (16 oz.) of local cheese,BMD,BD$28,EUR,(€25),,,
1,BERMUDA,Food,1 kg (2 lb.) of apples,BMD,BD$9,EUR,(€8),,,
1,BERMUDA,Food,1 kg (2 lb.) of potatoes,BMD,BD$3.09,EUR,(€2.78),,,
1,BERMUDA,Food,0.5 l (16 oz) domestic beer in the supermarket,BMD,BD$3.52,EUR,(€3.17),,,
1,BERMUDA,Food,"1 bottle of red table wine, good quality",BMD,BD$34,EUR,(€30),,,
1,BERMUDA,Food,2 liters of coca-cola,BMD,BD$6,EUR,(€5.66),,,
1,BERMUDA,Food,Bread for 2 people for 1 day,BMD,BD$3.45,EUR,(€3.10),,,
1,BERMUDA,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in expensive area,BMD,"BD$4,555",EUR,"(€4,102)",,,
1,BERMUDA,Housing,Monthly rent for 85 m2 (900 sqft) furnished accommodation in normal area,BMD,"BD$3,141",EUR,"(€2,828)",,,
1,BERMUDA,Housing,"Utilities 1 month (heating, electricity, gas ...) for 2 people in 85m2 flat",BMD,BD$450,EUR,(€405),,,
1,BERMUDA,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in expensive area,BMD,"BD$1,837",EUR,"(€1,654)",,,
1,BERMUDA,Housing,Monthly rent for a 45 m2 (480 sqft) furnished studio in normal area,BMD,"BD$1,800",EUR,"(€1,621)",,,
1,BERMUDA,Housing,"Utilities 1 month (heating, electricity, gas ...) for 1 person in 45 m2 (480 sqft) studio",BMD,BD$209,EUR,(€188),,,
1,BERMUDA,Housing,Internet 8 mbps (1 month),BMD,BD$98,EUR,(€89),,,
1,BERMUDA,Housing,40” flat screen tv,BMD,BD$548,EUR,(€493),,,
1,BERMUDA,Housing,"Microwave 800/900 watt (bosch, panasonic, lg, sharp, or equivalent brands)",BMD,BD$267,EUR,(€240),,,
1,BERMUDA,Housing,Laundry detergent (3 l. ~ 100 oz.),BMD,BD$23,EUR,(€20),,,
1,BERMUDA,Housing,Hourly rate for cleaning help,BMD,BD$26,EUR,(€24),,,
1,BERMUDA,Clothes,1 pair of jeans (levis 501 or similar),BMD,BD$77,EUR,(€69),,,
1,BERMUDA,Clothes,"1 summer dress in a high street store (zara, h&m or similar retailers)",BMD,BD$85,EUR,(€76),,,
1,BERMUDA,Clothes,"1 pair of sport shoes (nike, adidas, or equivalent brands)",BMD,BD$132,EUR,(€119),,,
1,BERMUDA,Clothes,1 pair of men’s leather business shoes,BMD,BD$155,EUR,(€139),,,
